"DRG_Definition","Provider_Id","Provider_Name","Provider_Street_Address","Provider_City","Provider_State","Provider_Zip_Code","Hospital_Referral_Region__HRR__Description","Total_Discharges","Average_Covered_Charges","Average_Total_Payments","Average_Medicare_Payments","Provider_Name_pretty","city_experiance_percentile","city_experiance_rank","city_experiance_out_of","state_experiance_percentile","state_experiance_rank","state_experiance_out_of","overall_experiance_percentile","overall_experiance_rank","overall_experiance_out_of","DRG_Definition_pretty","Provider_City_pretty","least_expensive_in_city","least_expensive_in_city_amount","least_expensive_in_state","least_expensive_in_state_amount","least_expensive_in_state_city","least_expensive_overall","least_expensive_in_overall_amount","least_expensive_overall_city","least_expensive_overall_state","city_out_of","city_rank","city_percentile","state_out_of","state_rank","state_percentile","country_out_of","country_rank","country_percentile"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",31,26926.51613,9232,6693.709677,"Duke University Hospital",100,1,1,51.8518518518518,14,27,65.8461538461538,334,975,"extracranial procedures w/o cc/mcc","Durham","Duke University Hospital",9232,"Rex Hospital",5691.166667,"Raleigh","Thomas Hospital",5103.153846,"Fairhope","AL",1,1,100,27,1,100,975,92,90.6666666666667
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",36,37891.16667,11583,7132.916667,"Duke University Hospital",100,1,1,77.7777777777778,7,27,86.7154811715481,128,956,"degenerative nervous system disorders w/o mcc","Durham","Duke University Hospital",11583,"Presbyterian Hospital Matthews",5479.923077,"Matthews","Thomas Hospital",4461.928571,"Fairhope","AL",1,1,100,27,1,100,956,63,93.5146443514644
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",79,79496.16456,22726.89873,18218.55696,"Duke University Hospital",100,1,2,80.6451612903226,13,62,88.9502762430939,181,1629,"intracranial hemorrhage or cerebral infarction w mcc","Durham","Duke Regional Hospital",12465.4,"Medwest Haywood",9759.647059,"Clyde","Fort Loudoun Medical Center",7595.545455,"Lenoir City","TN",2,1,100,62,1,100,1629,60,96.378146101903
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",45,36733.53333,12465.4,10762.13333,"Duke Regional Hospital",50,2,2,74.1935483870968,17,62,70.2271332105586,486,1629,"intracranial hemorrhage or cerebral infarction w mcc","Durham","Duke Regional Hospital",12465.4,"Medwest Haywood",9759.647059,"Clyde","Fort Loudoun Medical Center",7595.545455,"Lenoir City","TN",2,2,50,62,18,72.5806451612903,1629,805,50.6445672191529
"065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",98,48165.17347,12162.70408,8626.591837,"Duke University Hospital",100,1,2,83.5616438356164,13,73,90.2720147533426,212,2169,"intracranial hemorrhage or cerebral infarction w cc or tpa in 24 hrs","Durham","Duke Regional Hospital",7604.118644,"Rex Hospital",6135.810811,"Raleigh","Saint Anthony's Health Center",5289.666667,"Alton","IL",2,1,100,73,1,100,2169,104,95.2512678653757
"065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",59,27463.38983,7604.118644,6254.305085,"Duke Regional Hospital",50,2,2,67.1232876712329,25,73,72.7985246657446,591,2169,"intracranial hemorrhage or cerebral infarction w cc or tpa in 24 hrs","Durham","Duke Regional Hospital",7604.118644,"Rex Hospital",6135.810811,"Raleigh","Saint Anthony's Health Center",5289.666667,"Alton","IL",2,2,50,73,24,68.4931506849315,2169,947,56.3854310742278
"066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",64,35382.79688,8183.640625,5637.21875,"Duke University Hospital",100,1,2,85.2459016393443,10,61,93.0755914598961,121,1733,"intracranial hemorrhage or cerebral infarction w/o cc/mcc","Durham","Duke Regional Hospital",5440.222222,"Iredell Memorial Hospital Inc",4422.692308,"Statesville","Springhill Medical Center",3911.222222,"Mobile","AL",2,1,100,61,1,100,1733,130,92.5562608193883
"066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",45,21025.66667,5440.222222,4056.266667,"Duke Regional Hospital",50,2,2,72.1311475409836,18,61,81.4195037507213,323,1733,"intracranial hemorrhage or cerebral infarction w/o cc/mcc","Durham","Duke Regional Hospital",5440.222222,"Iredell Memorial Hospital Inc",4422.692308,"Statesville","Springhill Medical Center",3911.222222,"Mobile","AL",2,2,50,61,18,72.1311475409836,1733,868,49.9711482977496
"069 - TRANSIENT ISCHEMIA",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",22,27809.63636,6939.136364,4723.772727,"Duke University Hospital",50,2,2,37.0967741935484,40,62,37.1162280701754,1148,1824,"transient ischemia","Durham","Duke Regional Hospital",5035.40625,"Iredell Memorial Hospital Inc",4133.782609,"Statesville","Thomas Hospital",3637,"Fairhope","AL",2,1,100,62,2,98.3870967741936,1824,190,89.6381578947368
"069 - TRANSIENT ISCHEMIA",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",32,19913.96875,5035.40625,3792.6875,"Duke Regional Hospital",100,1,2,59.6774193548387,26,62,57.0175438596491,785,1824,"transient ischemia","Durham","Duke Regional Hospital",5035.40625,"Iredell Memorial Hospital Inc",4133.782609,"Statesville","Thomas Hospital",3637,"Fairhope","AL",2,2,50,62,24,62.9032258064516,1824,910,50.1644736842105
